Tipo,Categoria,Importo,Data
Entrata,Stipendio,1970.0,2025-10-06
Spesa,GasMetano,24.87,2025-10-06
Spesa,Assicurazione Vita,9.3,2025-10-07
Spesa,Cibo,13.5,2025-10-12
Spesa,Assicurazione Auto,79.83,2025-10-14
Spesa,Prestito Revolut,50.0,2025-10-15
Spesa,DisneyPlus,2.99,2025-10-16
Spesa,Investimento,100.0,2025-10-17
Spesa,Carburante,12.69,2025-10-17
Entrata,Stipendio,1906.0,2025-09-03
Spesa,NowTv,14.99,2025-09-03
Spesa,Assicurazione Auto,168.95,2025-09-04
Spesa,Corrente,27.51,2025-09-04
Spesa,Carburante,13.02,2025-09-05
Spesa,Assicurazione Vita,9.3,2025-09-07
Spesa,Cibo,100.0,2025-09-08
Spesa,Carburante,13.69,2025-09-13
Spesa,Prestito Revolut,70.0,2025-09-13
Spesa,Cibo,16.8,2025-09-16
Spesa,DisneyPlus,2.99,2025-09-16
Spesa,Cibo,19.0,2025-09-21
Spesa,Cibo,182.38,2025-09-23
Spesa,Carburante,11.61,2025-09-25
Spesa,Internet,29.95,2025-09-25
Spesa,Mobile,16.9,2025-09-25
Spesa,Taglio Siepe,50.0,2025-09-27
Spesa,Cibo,100.0,2025-09-28
Spesa,Cibo,16.0,2025-09-30
Spesa,Cibo,30.9,2025-09-30
Spesa,Mutuo,444.09,2025-10-01
Spesa,Prestito Ing,40.9,2025-10-01
Spesa,Bollo,8.62,2025-10-01
Spesa,Ferramenta,11.0,2025-10-01
Spesa,Corrente,77.59,2025-10-01
